voltage_v,voltage_kv,momentum_kg_m_s,wavelength_m,wavelength_pm,d1_maximum_bragg_order,d1_maximum_screen_order,d1_n1_bragg_ratio_q,d1_n1_phi_rad,d1_n1_phi_deg,d1_n1_photo_radius_m,d1_n1_photo_radius_mm,d1_n1_caliper_diameter_m,d1_n1_caliper_diameter_mm,d2_maximum_bragg_order,d2_maximum_screen_order,d2_n1_bragg_ratio_q,d2_n1_phi_rad,d2_n1_phi_deg,d2_n1_photo_radius_m,d2_n1_photo_radius_mm,d2_n1_caliper_diameter_m,d2_n1_caliper_diameter_mm
1000,1,1.7084988578603567e-23,3.8782994319927008e-11,38.782994319927006,6,4,0.15765444845498783,0.31662988900418226,18.141556307635355,0.038465414871705905,38.465414871705903,0.040477547706066382,40.477547706066382,10,7,0.091039892769781708,0.18233224912589685,10.446868344041784,0.023181331825503734,23.181331825503733,0.02357207489427951,23.57207489427951
1010,1.01,1.7170201020323685e-23,3.8590521696030141e-11,38.590521696030137,6,4,0.15687203941475664,0.31504535406527101,18.05076914314472,0.038299173261904317,38.299173261904315,0.040281747140696343,40.281747140696346,11,7,0.090588079098662302,0.18142487237952748,10.394879486046506,0.023071091310603201,23.071091310603201,0.023456061579173577,23.456061579173578
1020,1.02,1.7254992652146643e-23,3.8400886535154041e-11,38.400886535154044,6,4,0.15610116477704894,0.3134843735955879,17.961331550329529,0.038135026758705275,38.135026758705273,0.040088758299063401,40.0887582990634,11,7,0.090142926138859242,0.18053090895156854,10.34365915458541,0.022962406122771228,22.962406122771228,0.023341744347182097,23.341744347182097
1030,1.03,1.7339369647508665e-23,3.8214019798303559e-11,38.214019798303561,6,4,0.15534154389554292,0.31194636971745288,17.87321041923764,0.037972932853036143,37.972932853036141,0.03989851458572246,39.898514585722459,11,7,0.089704271827003648,0.17965003159265824,10.29318859965122,0.022855240095696887,22.855240095696885,0.023229082273674241,23.229082273674241
1040,1.04,1.742333803036189e-23,3.8029854775551142e-11,38.029854775551144,6,4,0.1545929055916713,0.3104307842098627,17.786373766161532,0.037812850190380269,37.812850190380267,0.039710951590641565,39.710951590641564,11,7,0.089271959567021456,0.17878192412313584,10.243449705483805,0.022749558227352418,22.749558227352416,0.023118035803136965,23.118035803136966
1050,1.05,1.7506903680193281e-23,3.7848326985979315e-11,37.848326985979313,6,4,0.15385498774788336,0.30893707765705353,17.700790684854532,0.037654738532926245,37.654738532926245,0.039526006997942287,39.526006997942289,11,7,0.088845837995256596,0.17792628095621088,10.194424963249796,0.022645326632340822,22.645326632340822,0.023008566690847745,23.008566690847744
1060,1.0600000000000001,1.7590072336828955e-23,3.7669374082827183e-11,37.669374082827183,6,4,0.15312753692206171,0.30746472864171237,17.616431300305241,0.037498558723087903,37.498558723087903,0.039343620499250088,39.343620499250086,11,7,0.088425760757810279,0.17708280664599849,10.146097445146918,0.022542512496600445,22.542512496600445,0.022900637947555626,22.900637947555627
1070,1.0700000000000001,1.767284960503499e-23,3.7492935763524146e-11,37.492935763524144,6,4,0.15241030798180547,0.30601323298009597,17.533266724913069,0.0373442726483472,37.3442726483472,0.039163733711382445,39.163733711382449,11,8,0.088011586299352448,0.17625121545890271,10.098450779846056,0.022441084034330386,22.441084034330387,0.022794213786988891,22.794213786988891
1080,1.0800000000000001,1.7755240958925214e-23,3.7318953684315971e-11,37.318953684315971,6,4,0.15170306375738199,0.30458210299650912,17.451269016918918,0.037191843207373038,37.19184320737304,0.038986290098120484,38.986290098120485,11,8,0.087603177662713541,0.17543123096693602,10.051469129190187,0.022341010447009479,22.341010447009481,0.022689259576020332,22.689259576020333
1090,1.0900000000000001,1.7837251746185724e-23,3.7147371379208702e-11,37.1473713792087,6,4,0.15100557471223047,0.30317086683476996,17.370411140955021,0.037041234277370064,37.041234277370066,0.038811234895827267,38.811234895827269,11,8,0.087200402298611979,0.17462258566165972,10.005137166074785,0.022242261884389842,22.242261884389841,0.022585741787332476,22.585741787332477
