voltage_index,voltage_v,voltage_kv,spacing_index,spacing_id,spacing_label,spacing_m,spacing_nm,order_n,wavelength_m,wavelength_pm,bragg_ratio_q,theta_rad,theta_deg,phi_rad,phi_deg,photo_radius_m,photo_radius_mm,caliper_diameter_m,caliper_diameter_mm,bragg_allowed,screen_visible,order_status
0,1000,1,0,d1,d₁ = 0.123 nm,1.2300000000000001e-10,0.12300000000000001,1,3.8782994319927008e-11,38.782994319927006,0.15765444845498783,0.15831494450209113,9.0707781538176775,0.31662988900418226,18.141556307635355,0.02023877385303319,20.23877385303319,0.040477547706066382,40.477547706066382,true,true,forward_screen
0,1000,1,0,d1,d₁ = 0.123 nm,1.2300000000000001e-10,0.12300000000000001,2,3.8782994319927008e-11,38.782994319927006,0.31530889690997566,0.32078213746740303,18.379462620067589,0.64156427493480606,36.758925240135177,0.03889921155150612,38.89921155150612,0.077798423103012243,77.79842310301224,true,true,forward_screen
0,1000,1,0,d1,d₁ = 0.123 nm,1.2300000000000001e-10,0.12300000000000001,3,3.8782994319927008e-11,38.782994319927006,0.47296334536496343,0.49265105590506242,28.226826276023651,0.98530211181012484,56.453652552047302,0.0541735401267045,54.1735401267045,0.108347080253409,108.347080253409,true,true,forward_screen
0,1000,1,0,d1,d₁ = 0.123 nm,1.2300000000000001e-10,0.12300000000000001,4,3.8782994319927008e-11,38.782994319927006,0.63061779381995131,0.68234898446251024,39.095716964739623,1.3646979689250205,78.191433929479246,0.06362439228650019,63.62439228650019,0.12724878457300037,127.24878457300038,true,true,forward_screen
0,1000,1,0,d1,d₁ = 0.123 nm,1.2300000000000001e-10,0.12300000000000001,5,3.8782994319927008e-11,38.782994319927006,0.78827224227493908,0.90799605456128252,52.024341740891913,1.815992109122565,104.04868348178383,0.06305583817897326,63.055838178973254,0.12611167635794651,126.11167635794651,true,false,back_scattering
0,1000,1,0,d1,d₁ = 0.123 nm,1.2300000000000001e-10,0.12300000000000001,6,3.8782994319927008e-11,38.782994319927006,0.94592669072992686,1.240439606855698,71.071954213698589,2.480879213711396,142.14390842739718,0.03988922001025314,39.88922001025314,0.079778440020506283,79.778440020506281,true,false,back_scattering
0,1000,1,1,d2,d₂ = 0.213 nm,2.1300000000000001e-10,0.21300000000000002,1,3.8782994319927008e-11,38.782994319927006,0.091039892769781708,0.091166124562948425,5.2234341720208919,0.18233224912589685,10.446868344041784,0.011786037447139755,11.786037447139755,0.02357207489427951,23.57207489427951,true,true,forward_screen
0,1000,1,1,d2,d₂ = 0.213 nm,2.1300000000000001e-10,0.21300000000000002,2,3.8782994319927008e-11,38.782994319927006,0.18207978553956342,0.18310118153820268,10.490924925997721,0.36620236307640536,20.981849851995442,0.02327469248707544,23.274692487075438,0.046549384974150877,46.549384974150875,true,true,forward_screen
0,1000,1,1,d2,d₂ = 0.213 nm,2.1300000000000001e-10,0.21300000000000002,3,3.8782994319927008e-11,38.782994319927006,0.27311967830934508,0.27663452162117769,15.849990556514001,0.55326904324235537,31.699981113028002,0.034155639089714696,34.1556390897147,0.068311278179429391,68.311278179429394,true,true,forward_screen
0,1000,1,1,d2,d₂ = 0.213 nm,2.1300000000000001e-10,0.21300000000000002,4,3.8782994319927008e-11,38.782994319927006,0.36415957107912683,0.37273025357452011,21.355870426660967,0.74546050714904022,42.711740853321935,0.04409016636636972,44.09016636636972,0.088180332732739425,88.18033273273943,true,true,forward_screen
0,1000,1,1,d2,d₂ = 0.213 nm,2.1300000000000001e-10,0.21300000000000002,5,3.8782994319927008e-11,38.782994319927006,0.45519946384890847,0.47259621995063217,27.077768817007577,0.94519243990126434,54.155537634015154,0.05268962654028484,52.68962654028484,0.10537925308056968,105.37925308056968,true,true,forward_screen
0,1000,1,1,d2,d₂ = 0.213 nm,2.1300000000000001e-10,0.21300000000000002,6,3.8782994319927008e-11,38.782994319927006,0.54623935661869016,0.57786800280020933,33.109397676106035,1.1557360056004187,66.218795352212069,0.05948097986555086,59.480979865550864,0.11896195973110173,118.96195973110173,true,true,forward_screen
0,1000,1,1,d2,d₂ = 0.213 nm,2.1300000000000001e-10,0.21300000000000002,7,3.8782994319927008e-11,38.782994319927006,0.63727924938847191,0.69096254909947452,39.589237865000811,1.381925098198949,79.178475730001622,0.06384409121961666,63.844091219616665,0.12768818243923333,127.68818243923333,true,true,forward_screen
0,1000,1,1,d2,d₂ = 0.213 nm,2.1300000000000001e-10,0.21300000000000002,8,3.8782994319927008e-11,38.782994319927006,0.72831914215825366,0.81586578764353945,46.745666281091481,1.6317315752870789,93.491332562182961,0.06487936143902721,64.8793614390272,0.12975872287805443,129.75872287805441,true,false,back_scattering
0,1000,1,1,d2,d₂ = 0.213 nm,2.1300000000000001e-10,0.21300000000000002,9,3.8782994319927008e-11,38.782994319927006,0.8193590349280353,0.96029205881456747,55.020682070003339,1.9205841176291349,110.04136414000668,0.061063954753960314,61.06395475396032,0.12212790950792063,122.12790950792063,true,false,back_scattering
0,1000,1,1,d2,d₂ = 0.213 nm,2.1300000000000001e-10,0.21300000000000002,10,3.8782994319927008e-11,38.782994319927006,0.91039892769781694,1.144247259970639,65.560538715726324,2.2884945199412781,131.12107743145265,0.04896589829994892,48.96589829994892,0.097931796599897813,97.931796599897808,true,false,back_scattering
1,1010,1.01,0,d1,d₁ = 0.123 nm,1.2300000000000001e-10,0.12300000000000001,1,3.8590521696030141e-11,38.590521696030137,0.15687203941475664,0.15752267703263551,9.02538457157236,0.31504535406527101,18.05076914314472,0.02014087357034817,20.140873570348173,0.040281747140696343,40.281747140696346,true,true,forward_screen
1,1010,1.01,0,d1,d₁ = 0.123 nm,1.2300000000000001e-10,0.12300000000000001,2,3.8590521696030141e-11,38.590521696030137,0.31374407882951327,0.31913365659907805,18.285011623704506,0.63826731319815611,36.570023247409011,0.03872730971676956,38.72730971676956,0.077454619433539124,77.454619433539122,true,true,forward_screen
1,1010,1.01,0,d1,d₁ = 0.123 nm,1.2300000000000001e-10,0.12300000000000001,3,3.8590521696030141e-11,38.590521696030137,0.47061611824426991,0.48998892719687137,28.074297536523687,0.97997785439374274,56.148595073047375,0.05398152725461112,53.981527254611116,0.10796305450922224,107.96305450922223,true,true,forward_screen
1,1010,1.01,0,d1,d₁ = 0.123 nm,1.2300000000000001e-10,0.12300000000000001,4,3.8590521696030141e-11,38.590521696030137,0.62748815765902655,0.67832300855984207,38.865045537095362,1.3566460171196841,77.730091074190724,0.06351522584908217,63.51522584908217,0.12703045169816432,127.03045169816433,true,true,forward_screen
1,1010,1.01,0,d1,d₁ = 0.123 nm,1.2300000000000001e-10,0.12300000000000001,5,3.8590521696030141e-11,38.590521696030137,0.78436019707378324,0.90166402162088866,51.661542977669527,1.8033280432417773,103.32308595533905,0.06325059655053497,63.25059655053497,0.12650119310106994,126.50119310106994,true,false,back_scattering
1,1010,1.01,0,d1,d₁ = 0.123 nm,1.2300000000000001e-10,0.12300000000000001,6,3.8590521696030141e-11,38.590521696030137,0.94123223648853982,1.2262602140944794,70.259534852422419,2.4525204281889588,140.51906970484484,0.0413283887839894,41.3283887839894,0.082656777567978804,82.656777567978807,true,false,back_scattering
