final_n,series_name,limit_energy_ev,limit_wavelength_m,limit_wavelength_nm
1,Lyman,13.605693122990514,9.1126705058263646e-08,91.126705058263639
2,Balmer,3.4014232807476286,3.6450682023305458e-07,364.50682023305455
3,Paschen,1.5117436803322795,8.2014034552437281e-07,820.14034552437283
4,Brackett,0.85035582018690714,1.4580272809322183e-06,1458.0272809322182
5,Pfund,0.54422772491962057,2.2781676264565911e-06,2278.1676264565913
