n,energy_ev,energy_j
1,-13.605693122990514,-2.1798723611029888e-18
2,-3.4014232807476286,-5.4496809027574719e-19
3,-1.5117436803322795,-2.4220804012255431e-19
4,-0.85035582018690714,-1.362420225689368e-19
5,-0.54422772491962057,-8.7194894444119546e-20
6,-0.37793592008306987,-6.0552010030638578e-20
7,-0.27766720659164312,-4.4487191042918137e-20
8,-0.21258895504672679,-3.40605056422342e-20
9,-0.16797152003691992,-2.691200445806159e-20
10,-0.13605693122990514,-2.1798723611029886e-20
